ID,Name,URL
175102,BC Luleå,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/team/175102/statistics
175103,Borås Basket,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/team/175103/statistics
175104,Nässjö Basket,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/team/175104/statistics
175105,Högsbo Basket,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/team/175105/statistics
175106,Jämtland Basket,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/team/175106/statistics
175107,Köping Stars,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/team/175107/statistics
175108,Norrköping Dolphins,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/team/175108/statistics
175109,Södertälje BBK,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/team/175109/statistics
175110,Umeå BSKT,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/team/175110/statistics
175111,Uppsala Basket,https://hosted.dcd.shared.geniussports.com/SBF/en/competition/38899/team/175111/statistics
