Player,EFF,G,GS,Min,PTS,OFF,DEF,REB,AST,STL,BLK,2PM,2PA,3PM,3PA,FTM,FTA,Tot Fouls,Fls On,TO
Nathan Dawit,0,39,19,934:43,421,16,86,102,55,40,12,54,98,90,255,43,52,71,51,29
Tim Schüberg,0,39,39,949:00,254,28,73,101,193,39,6,41,92,38,101,58,71,115,107,59
Pierre Hampton,0,39,22,857:43,497,55,108,163,51,29,8,128,212,45,110,106,122,125,144,62
Philip Georgson,0,6,0,14:36,3,0,0,0,0,1,0,0,1,1,4,0,0,2,0,1
Devonte Green,0,38,24,959:42,505,25,111,136,92,72,22,85,181,73,218,116,158,63,130,72
Marcus Tyus,0,35,35,891:35,613,13,94,107,105,50,5,102,192,98,240,115,130,103,126,68
Sebastian Forsling,0,38,0,439:20,93,55,97,152,23,6,16,41,67,0,4,11,24,81,24,19
Keenon Cole,0,39,17,757:00,314,31,121,152,18,21,18,77,132,42,120,34,56,90,58,37
Daniel Love,0,39,0,692:35,262,17,70,87,77,30,8,67,132,33,83,29,36,101,47,46
Tim Jonsson,0,22,0,180:46,53,3,11,14,10,7,1,8,21,10,27,7,10,15,10,8
Joakim Dumon,0,9,0,53:04,7,3,4,7,1,2,2,0,3,0,9,7,10,6,8,2
Shane Hunter,0,39,39,1069:50,556,106,250,356,77,47,51,215,323,1,10,123,155,96,124,40
